sex,length,diameter,weight,age
M,91,73,102.8,16.5
M,70,53,45.1,8.5
F,106,84,135.4,10.5
M,88,73,103.2,11.5
I,66,51,41,8.5
I,85,60,70.3,9.5
F,106,83,155.5,21.5
F,109,85,153.6,17.5
M,95,74,101.9,10.5
F,110,88,178.9,20.5
F,105,76,121.3,15.5
M,86,70,81.2,11.5
M,98,76,108.3,12.5
F,107,81,136.9,11.5
F,94,71,95.1,11.5
M,100,80,132.9,13.5
I,71,56,58.1,8.5
F,88,68,90.2,11.5
M,73,59,51.1,8.5
M,90,64,76.2,10.5
M,71,56,49.1,12.5
I,76,55,45.1,11.5
F,113,88,187.9,13.5
F,110,83,152.7,10.5
F,123,96,232.3,11.5
F,112,88,185.7,12.5
F,116,90,199.1,12.5
M,118,89,186.2,13.5
M,121,95,187.3,16.5
M,115,85,172.7,12.5
M,116,94,199.5,11.5
F,136,112,327.8,16.5
M,133,105,267.6,19.5
F,136,110,359.6,20.5
F,141,110,341.9,14.5
M,93,71,95.9,9.5
F,108,95,243.4,17.5
F,90,71,104.5,9.5
F,115,89,176.6,12.5
M,71,58,65.5,10.5
F,90,67,85,10.5
F,110,85,170.3,15.5
I,48,35,14,6.5
I,41,30,8.4,6.5
I,42,30,8.4,5.5
I,78,59,40.6,8.5
M,94,74,115.9,10.5
F,92,75,92.1,8.5
I,65,49,32.2,7.5
F,105,85,167.1,10.5
I,104,82,119,9.5
M,80,64,60.6,8.5
M,97,72,108.3,11.5
F,94,72,95.5,11.5
M,81,62,77,8.5
F,100,80,132.3,9.5
M,89,70,88.5,9.5
M,94,77,117.9,9.5
I,49,38,17.2,5.5
F,101,80,116.6,8.5
M,90,69,82.3,8.5
M,101,81,125,10.5
F,106,82,139.3,11.5
M,85,65,75.7,8.5
M,104,80,116,9.5
M,95,71,96,9.5
F,113,88,183,13.5
F,119,99,257,14.5
F,95,78,106.1,11.5
I,62,47,30.2,7.5
M,111,85,153.3,14.5
F,80,64,70.6,9.5
F,119,95,249.4,21.5
M,114,96,237,12.5
F,121,90,219.6,14.5
F,120,95,201.5,16.5
M,119,95,188.8,10.5
F,120,94,184.4,11.5
F,111,85,157.6,12.5
F,123,95,220.5,15.5
F,115,89,188.2,10.5
M,124,102,323,13.5
F,104,85,197.7,17.5
M,119,95,263.5,22.5
M,116,90,202.6,15.5
F,114,93,259,13.5
M,125,93,239,14.5
